"","date","load"
"1",2011-01-01,5300.83185519395
"2",2011-01-02,5528.14796838903
"3",2011-01-03,5425.52883520949
"4",2011-01-04,5541.01645982596
"5",2011-01-05,5644.80802301004
"6",2011-01-06,5616.10696898203
"7",2011-01-07,5526.17850722654
"8",2011-01-08,5783.22292765282
"9",2011-01-09,5531.31921598368
"10",2011-01-10,5111.50454664604
"11",2011-01-11,4994.11812481516
"12",2011-01-12,5122.41287203919
"13",2011-01-13,5107.43754008632
"14",2011-01-14,5028.38249433032
"15",2011-01-15,5176.12391132375
"16",2011-01-16,5096.6296280247
"17",2011-01-17,4924.1177523584
"18",2011-01-18,4994.33944087998
"19",2011-01-19,5278.33713702917
"20",2011-01-20,5295.89112442229
"21",2011-01-21,5306.12275231058
"22",2011-01-22,5628.23037420074
"23",2011-01-23,5685.80175719246
"24",2011-01-24,5435.35833689649
"25",2011-01-25,5114.46693213267
"26",2011-01-26,4899.33247021699
"27",2011-01-27,5134.20580498958
"28",2011-01-28,5455.88129582844
"29",2011-01-29,5570.98455998989
"30",2011-01-30,5307.77132634507
"31",2011-01-31,5145.40858197293
