date,load
2011-01-01,5458.384917
2011-01-02,5765.999381
2011-01-03,5661.671712
2011-01-04,5709.436347
2011-01-05,5821.442613
2011-01-06,5742.624879
2011-01-07,5679.517802
2011-01-08,5878.759966
2011-01-09,5657.124285
2011-01-10,5241.219491
2011-01-11,5224.297878
2011-01-12,5290.018041
2011-01-13,5128.267922
2011-01-14,5000.808409
2011-01-15,5140.714496
2011-01-16,5140.779685
2011-01-17,5037.877506
2011-01-18,5136.355538
2011-01-19,5452.11291
2011-01-20,5380.923089
2011-01-21,5371.917401
2011-01-22,5635.976475
2011-01-23,5695.300625
2011-01-24,5414.93538
2011-01-25,5139.989306
2011-01-26,4892.695186
2011-01-27,5166.87978
2011-01-28,5474.658759
2011-01-29,5604.391583
2011-01-30,5339.749615
2011-01-31,5141.09748
