date,load
2011-01-01,5536.68449
2011-01-02,6014.878892
2011-01-03,5893.43238
2011-01-04,5987.37578
2011-01-05,6154.492468
2011-01-06,5982.383334
2011-01-07,5717.08793
2011-01-08,5880.703152
2011-01-09,5427.484018
2011-01-10,4763.085503
2011-01-11,4774.089916
2011-01-12,4877.877906
2011-01-13,4562.9497
2011-01-14,4183.765683
2011-01-15,4239.291396
2011-01-16,4245.777147
2011-01-17,4227.058015
2011-01-18,4484.866721
2011-01-19,5103.092607
2011-01-20,4984.268185
2011-01-21,4855.301431
2011-01-22,5172.133682
2011-01-23,5312.903893
2011-01-24,4955.767904
2011-01-25,4482.025241
2011-01-26,3989.157469
2011-01-27,4575.983448
2011-01-28,5096.106336
2011-01-29,5161.148497
2011-01-30,4669.233068
2011-01-31,4488.068462
